course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
API com Django 3: Versionamento, cabeçalhos e CORS;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Threads em Java 1: programação paralela;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
Pacman com Python e Pygame: colisão e pontuação;7;0;0;;;;;;;;;;;;;;;;;;;;;;;
JS na web: CRUD com JavaScript assíncrono;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Lógica de programação: laços e listas com JavaScript;23;0;0;;;;;;;;;;;;;;;;;;;;;;;
Boas práticas no Django: apps, pastas e paginação;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
SOLID com Java: princípios da programação orientada a objetos;6;0;1;;;;;;;;;;;;;;;;;;;;;;;
MEAN Stack: criando aplicações completas com Javascript;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning: intro a sistemas de recomendação em Python;2;2;0;;;;;;;;;;;;;;;;;;;;;;;
Android parte 3: refinando o projeto;4;2;0;;;;;;;;;;;;;;;;;;;;;;;
API com Django 3: Testes, segurança e lapidações;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Next.js Full stack: arquitetura de componentes Front-end;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Next.js Full stack: gerenciando conteúdo em build time com File System;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java e java.lang: programe com a classe Object e String;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Spring MVC: crie um web app com Thymeleaf e Bootstrap;3;1;0;;;;;;;;;;;;;;;;;;;;;;;
Java Collections: Dominando Listas, Sets e Mapas;5;0;0;;;;;;;;;;;;;;;;;;;;;;;
Django: autenticação de formulários e alerta;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Next.js: explorando o framework;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
